React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
l-C3H      Si+                    H          l-SiC3+                                       1.000e+00  1.360e-09  5.300e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2978 1  1 
CH3        Si+                    H          CH2Si+                                        1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2980 1  1 
NH3        Si+                    H          HSiNH+                                        1.000e+00  1.040e-09  3.650e+00 2.00e+00 0.00e+00 logn  4     10    800  4  2981 1  1 
C4H        Si+                    H          SiC4+                                         1.000e+00  1.480e-09  1.130e+00 2.00e+00 0.00e+00 logn  4     10     95  4  2985 1  1 
C4H        Si+                    H          SiC4+                                         1.000e+00  1.480e-09  1.130e+00 2.00e+00 0.00e+00 logn  4     95    800  5  2985 2  1 
C4H2       Si+                    SiH        C4H+                                          1.600e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  2988 1  1 
H2         C2+                    CCH        H+                                            1.500e-09  0.000e+00  1.260e+03 2.00e+00 0.00e+00 logn  4     10    800  3  2999 1  1 
C          CH+                    C2         H+                                            6.000e-11  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3022 1  2 
OCS        CH+                    C          HOCS+                                         4.490e-01  1.630e-09  1.090e+00 2.00e+00 0.00e+00 logn  4     10     90  4  3058 1  1 
OCS        CH+                    C          HOCS+                                         4.490e-01  1.630e-09  1.090e+00 2.00e+00 0.00e+00 logn  4     90    800  5  3058 2  1 
Si         C3H+                   H          l-SiC3+                                       2.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  3173 1  1 
NO         C3H+                   l-C3H      NO+                                           2.500e-01  7.480e-10  4.110e-01 2.00e+00 0.00e+00 logn  4     10     13  4  3175 1  1 
NO         C3H+                   l-C3H      NO+                                           2.500e-01  7.480e-10  4.110e-01 2.00e+00 0.00e+00 logn  4     13    800  5  3175 2  1 
