R1	R2	R3	P1	P2	P3	P4	P5	Number	Reaction_enthalpy
C	C6N		C3N	C4				4556	18.73612078208949
H2	C6N+		C5	HCNH+				4600	79.75058700651226
H2	C8N+		C7	HCNH+				4603	154.38938314720377
H2	C10N+		HNC	C9H+				4605	11.706356861572141
H2	C10N+		C9	HCNH+				4606	209.09661575440504
H2	HC6N+		H	H2C6N+				4636	45.42616265165981
H2	HC8N+		H	H2C8N+				4637	63.68796056803282
H2	HC10N+		H	H2C10N+				4638	76.58901217552177
C7	C+		C2	C6+				4650	197.08258177542112
C9	C+		C4	C6+				4657	196.479696040969
H2	S+		H	HS+				4729	98.35921349893704
H2	H2S+		H	H3S+				4731	39.23032349478073
O2	Si+		O	SiO+				4747	39.42474729826357
H2O	SiH+		Si	H3O+				4748	156.34896486663735
H2O	C5H3+		C5H2	H3O+				4769	265.92628985869436
H2O	C6H3+		C6H2	H3O+				4770	84.00488215564636
H2O	C7H3+		C7H2	H3O+				4771	311.78857986221186
H2O	C8H3+		C8H2	H3O+				4772	109.7344690556296
H2O	C9H3+		C9H2	H3O+				4773	346.213403344811
H2O	C10H3+		H3O+	C10H2				4774	126.30478846802053
HCN	C5H3+		C5H2	HCNH+				4775	243.65694681582545
HCN	C6H3+		C6H2	HCNH+				4776	61.73553911277746
HCN	C7H3+		C7H2	HCNH+				4777	289.51923681934295
HCN	C8H3+		C8H2	HCNH+				4778	87.46512601276069
HCN	C9H3+		C9H2	HCNH+				4779	323.9440603017929
HCN	C10H3+		HCNH+	C10H2				4780	104.03544542515162
H	l-C3H3+		H2	l-C3H2+				4786	146.07275472074713
H	c-C3H3+		H2	c-C3H2+				4787	84.4892058145684
H2	C4H2+		H	C4H3+				4788	44.390875412950145
H2	C6H2+		H	C6H3+				4790	64.08044659281445
H2	C8H2+		H	C8H3+				4792	79.32003122877751
H2	C10H2+		H	C10H3+				4794	91.12304614269644
H	C5H3+		H2	C5H2+				4796	112.7247276354506
H	C7H3+		H2	C7H2+				4798	100.86660347226984
H	C9H3+		H2	C9H2+				4800	95.93089939125174
Na	NH4+		H	NH3	Na+			4813	12.376437285319216
