R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy	C_kjmol	enthalpy-C_kjmol
C9H3+	C8H-		H	C8H	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3794	1	1		96.95788453585227	0.0	96.95788453585227
C9H3+	C9-		H	C9	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3795	1	1		72.52193409459143	0.0	72.52193409459143
C9H3+	C9H-		H	C9H	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3796	1	1		17.216848836575647	0.0	17.216848836575647
C9H3+	C10-		H	C10	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3797	1	1		149.38912352970488	0.0	149.38912352970488
C9H3+	C10H-		H	C10H	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3798	1	1		108.54747253889386	0.0	108.54747253889386
C9H3+	C3N-		H	C3N	C9H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3799	1	1		131.68007217089593	0.0	131.68007217089593
CF+	CN-		C	F	CN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3804	1	1		23.74949241023802	0.0	23.74949241023802
CF+	C6-		C	F	C6			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3809	1	1		49.85845883796475	0.0	49.85845883796475
CF+	C6H-		C	F	C6H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3810	1	1		17.309581503626397	0.0	17.309581503626397
CF+	C8-		C	F	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3813	1	1		70.36818377052076	0.0	70.36818377052076
CF+	C8H-		C	F	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3814	1	1		32.890664950484485	0.0	32.890664950484485
CF+	C10-		C	F	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3817	1	1		85.32190394448635	0.0	85.32190394448635
CF+	C10H-		C	F	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3818	1	1		44.48025295337683	0.0	44.48025295337683
CF+	C3N-		C	F	C3N			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3819	1	1		67.61285258567737	0.0	67.61285258567737
HC3S+	C8-		H	C3S	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4053	1	1		17.55493449718944	0.0	17.55493449718944
HC3S+	C10-		H	C3S	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4057	1	1		32.50865467145351	0.0	32.50865467145351
HC3S+	C3N-		H	C3N	C3S			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4059	1	1		14.799603312644544	0.0	14.799603312644544
HC4S+	C6-		H	C4S	C6			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4148	1	1		20.9570051465494	0.0	20.9570051465494
HC4S+	C8-		H	C4S	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4152	1	1		41.46673007910541	0.0	41.46673007910541
HC4S+	C10-		H	C4S	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4156	1	1		56.42045025277251	0.0	56.42045025277251
HC4S+	C10H-		H	C4S	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4157	1	1		15.57879926166299	0.0	15.57879926166299
HC4S+	C3N-		H	C3N	C4S			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4158	1	1		38.71139889396354	0.0	38.71139889396354
