React1     React2    React3       Prod1      Prod2      Prod3      Prod4      Prod5       A          B          C          errA     errB     errC ty  Tmin   Tmax  fr   num n  n !comment 
Si         CH2                    H          HCSi                                          1.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   834 1  1 
Si         CH3                    H          SiCH2                                         1.000e-10  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3   835 1  1 
H2SiO      He+                    H          He         HSiO+                              1.000e+00  2.610e-09  6.080e+00 2.00e+00 0.00e+00 logn  4     10    800  4   996 1  1 
HCCSi      He+                    He         CCH        Si+                                5.000e-01  3.580e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     10     94  4  1001 1  1 
HCCSi      He+                    He         CCH        Si+                                5.000e-01  3.580e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     94    800  5  1001 2  1 
HCCSi      He+                    H          He         SiC2+                              5.000e-01  3.580e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     10     94  4  1002 1  1 
HCCSi      He+                    H          He         SiC2+                              5.000e-01  3.580e-09  1.110e+00 2.00e+00 0.00e+00 logn  4     94    800  5  1002 2  1 
l-SiC3     He+                    C          He         SiC2+                              1.000e+00  4.170e-09  4.150e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1003 1  1 
SiCH2      He+                    He         CH         SiH+                               5.000e-01  3.250e-09  2.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1004 1  1 
SiCH2      He+                    H          He         CHSi+                              5.000e-01  3.250e-09  2.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1005 1  1 
SiH3       He+                    He         H2         SiH+                               5.000e-01  2.800e-09  7.710e-03 2.00e+00 0.00e+00 logn  4     10    800  5  1006 1  1 
SiH3       He+                    H          He         SiH2+                              5.000e-01  2.800e-09  7.710e-03 2.00e+00 0.00e+00 logn  4     10    800  5  1007 1  1 
c-HCCHSi   He+                    He         CCH        SiH+                               2.510e-09 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1077 1  1 
c-HCCHSi   He+                    H          He         SiC2H+                             2.510e-09 -5.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1078 1  1 
SiC3H      He+                    He         c-C3H      Si+                                2.500e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     10     33  4  1079 1  1 
SiC3H      He+                    He         c-C3H      Si+                                2.500e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     33    800  5  1079 2  1 
SiC3H      He+                    He         l-C3H      Si+                                2.500e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     10     33  4  1080 1  1 
SiC3H      He+                    He         l-C3H      Si+                                2.500e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     33    800  5  1080 2  1 
SiC3H      He+                    H          He         l-SiC3+                            4.990e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     10     33  4  1081 1  1 
SiC3H      He+                    H          He         l-SiC3+                            4.990e-01  4.150e-09  6.560e-01 2.00e+00 0.00e+00 logn  4     33    800  5  1081 2  1 
SiC4       He+                    C          He         l-SiC3+                            1.000e+00  4.830e-09  5.570e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1082 1  1 
SiCH3      He+                    He         CH2        SiH+                               5.000e-01  3.340e-09  1.360e+00 2.00e+00 0.00e+00 logn  4     10    140  4  1083 1  1 
SiCH3      He+                    He         CH2        SiH+                               5.000e-01  3.340e-09  1.360e+00 2.00e+00 0.00e+00 logn  4    140    800  5  1083 2  1 
SiCH3      He+                    H          He         CH2Si+                             5.000e-01  3.340e-09  1.360e+00 2.00e+00 0.00e+00 logn  4     10    140  4  1084 1  1 
SiCH3      He+                    H          He         CH2Si+                             5.000e-01  3.340e-09  1.360e+00 2.00e+00 0.00e+00 logn  4    140    800  5  1084 2  1 
SiH4       He+                    He         H2         SiH2+                              1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1085 1  1 
SiH4       He+                    H          He         SiH3+                              1.000e-09  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  4     10    300  3  1086 1  1 
SiC        He+                    He         Si         C+                                 5.000e-01  3.210e-09  2.100e+00 2.00e+00 0.00e+00 logn  4     10    330  4  1212 1  1 
SiC        He+                    He         Si         C+                                 5.000e-01  3.210e-09  2.100e+00 2.00e+00 0.00e+00 logn  4    330    800  5  1212 2  1 
SiC        He+                    C          He         Si+                                5.000e-01  3.210e-09  2.100e+00 2.00e+00 0.00e+00 logn  4     10    330  4  1213 1  1 
SiC        He+                    C          He         Si+                                5.000e-01  3.210e-09  2.100e+00 2.00e+00 0.00e+00 logn  4    330    800  5  1213 2  1 
SiH        He+                    H          He         Si+                                1.000e+00  2.930e-09  1.540e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1214 1  1 
SiN        He+                    He         N          Si+                                1.000e+00  2.510e-09  4.410e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1215 1  1 
SiO        He+                    He         O          Si+                                5.000e-01  2.580e-09  5.100e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1216 1  1 
SiO        He+                    He         Si         O+                                 5.000e-01  2.580e-09  5.100e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1217 1  1 
SiS        He+                    He         Si         S+                                 5.000e-01  3.300e-09  2.140e+00 2.00e+00 0.00e+00 logn  4     10    344  4  1218 1  1 
SiS        He+                    He         Si         S+                                 5.000e-01  3.300e-09  2.140e+00 2.00e+00 0.00e+00 logn  4    344    800  5  1218 2  1 
SiS        He+                    He         S          Si+                                5.000e-01  3.300e-09  2.140e+00 2.00e+00 0.00e+00 logn  4     10    344  4  1219 1  1 
SiS        He+                    He         S          Si+                                5.000e-01  3.300e-09  2.140e+00 2.00e+00 0.00e+00 logn  4    344    800  5  1219 2  1 
HCSi       He+                    He         CH         Si+                                5.000e-01  3.170e-09  1.850e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1258 1  1 
HCSi       He+                    H          He         SiC+                               5.000e-01  3.170e-09  1.850e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1259 1  1 
HNSi       He+                    H          He         SiN+                               1.000e+00  2.890e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     10     11  4  1265 1  1 
HNSi       He+                    H          He         SiN+                               1.000e+00  2.890e-09  3.770e-01 2.00e+00 0.00e+00 logn  4     11    800  5  1265 2  1 
c-SiC2     He+                    He         C2         Si+                                1.000e+00  3.170e-09  3.200e+00 2.00e+00 0.00e+00 logn  4     10    770  4  1284 1  1 
c-SiC2     He+                    He         C2         Si+                                1.000e+00  3.170e-09  3.200e+00 2.00e+00 0.00e+00 logn  4    770    800  5  1284 2  1 
SiH2       He+                    He         H2         Si+                                5.000e-01  2.850e-09  2.070e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1285 1  1 
SiH2       He+                    H          He         SiH+                               5.000e-01  2.850e-09  2.070e-01 2.00e+00 0.00e+00 logn  4     10    800  5  1286 1  1 
SiNC       He+                    He         Si         CN+                                1.000e+00  3.320e-09  3.370e+00 2.00e+00 0.00e+00 logn  4     10    800  4  1287 1  1 
